Date,Fridge,AC,Voltage,Kitchen Appliances,Other Appliances,Sub_metering_3,month,year,Total_Consumption,day,Washing Machine,kap_zscore,fridge_zscore,ac_zscore,oap_zscore,wm_zscore
2021-01-01,1224.2519999999988,0.0,349294.63999999943,3869.147999999939,327.0,3558.0,1,2020,7.7,1,2304.0,,,,,
2021-01-02,1693.778,0.0,350829.7099999998,5301.42200000002,367.0,14623.0,1,2020,8.5,2,1111.0,,,,,
2021-01-03,1298.7280000000007,0.0,348224.7999999996,4112.471999999997,471.0,7115.0,1,2020,7.7,3,1785.0,,,,,
2021-01-04,1687.4400000000014,0.0,348125.99,5338.359999999994,517.0,14393.0,1,2020,9.3,4,1780.0,,,,,0.09554842743691135
2021-01-05,1320.1579999999992,0.0,346531.91999999963,4338.841999999998,4885.0,6751.0,1,2020,12.5,5,1984.0,,,,,1.3436329026848963
2021-01-06,1268.963999999999,0.0,346378.0000000004,4085.235999999996,400.0,11858.0,1,2020,6.7,6,970.0,,,,,-9.258680274977582
2021-01-07,1349.002000000001,0.0,344612.4699999996,4485.797999999987,921.0,7438.0,1,2020,7.6,7,877.0,,,,,-1.600773729839863
2021-01-08,555.6639999999994,0.0,345313.88000000006,1921.935999999976,558.0,4263.0,1,2020,3.0,8,0.0,,,,,-2.547050936331571
2021-01-09,1593.317999999999,0.0,347418.49000000063,5162.681999999993,1194.0,13990.0,1,2020,9.9,9,1947.0,,,,,3.0465674775664358
2021-01-10,1504.8200000000008,0.0,346754.8499999999,4791.779999999993,724.0,11307.0,1,2020,8.8,10,1752.0,,,,,1.0182206780540886
2021-01-11,1383.1799999999994,0.0,354786.61999999965,4287.020000000017,634.0,8746.0,1,2020,6.3,11,0.0,,,,,-1.4083548587421628
2021-01-14,618.487999999999,0.0,72588.14,1968.9120000000007,84.0,1893.0,1,2020,4.6,14,1890.0,,,,,0.7504372604976487
2021-01-15,2196.76,0.0,350965.1000000002,6925.640000000038,2952.0,13546.0,1,2020,14.0,15,1957.0,,,,,0.8636779401239023
2021-01-16,2150.112000000001,0.0,349985.1400000003,6806.288000000011,2415.0,13652.0,1,2020,14.0,16,2605.0,,,,,1.4580317043307807
2021-01-17,1906.5560000000028,0.0,349261.9300000004,6044.443999999976,298.0,15044.0,1,2020,10.2,17,1992.0,,,,,-0.4921048762886127
